Rank,Pokemon,Deviations,Winrate,Games,Wins
333,Accelgor,2.170156,48.948753,10654,5215
334,Aggron,2.1755166,49.21119,19016,9358
335,Eldegoss,2.2332165,48.91108,10515,5143
336,Noivern,2.2729907,49.13892,17420,8560
337,Vileplume,2.2835145,49.172314,19029,9357
338,Exploud,2.2872145,49.12811,17204,8452
339,Giratina,2.3047926,48.83507,9786,4779
340,SandslashAlola,2.3236756,49.011086,13803,6765
341,Tangrowth,2.3524084,49.14337,18853,9265
342,Whiscash,2.3600006,48.82,10000,4882
343,Vespiquen,2.4405367,48.79915,10326,5039
344,Slowbro,2.4432685,49.07016,17261,8470
345,Luxray,2.4885218,48.780956,10418,5082
346,Lurantis,2.4977257,48.77674,10423,5084
347,Persian,2.5091252,48.745876,10007,4878
348,TapuFini,2.5287352,49.05963,18078,8869
349,Electivire,2.5591233,48.740555,10322,5031
350,Bronzong,2.5785024,49.02797,17592,8625
351,Aromatisse,2.5952194,49.0567,18923,9283
352,Exeggutor,2.6010807,48.70885,10146,4942
353,Tyranitar,2.628853,49.04546,18962,9300
354,Gallade,2.65859,49.018322,18336,8988
355,Grimmsnarl,2.6844404,49.06655,20676,10145
356,Scyther,2.7171278,49.01035,18845,9236
357,Golisopod,2.7809396,48.954918,17702,8666
358,Kabutops,2.8811877,48.57367,10201,4955
359,Tsareena,2.9234824,48.920864,18348,8976
360,Glaceon,2.9441369,48.56491,10522,5110
361,Aurorus,2.973655,48.564507,10728,5210
362,Shuckle,3.005672,48.538177,10569,5130
363,Steelix,3.0061688,48.887062,18240,8917
364,Grapploct,3.0175033,48.49747,10083,4890
365,Pelipper,3.0222983,48.855354,17429,8515
366,Kingdra,3.062854,48.94831,21204,10379
367,Altaria,3.0821476,48.46284,10051,4871
368,Poliwrath,3.1713898,48.43338,10245,4962
369,Sandslash,3.2171707,48.83181,18961,9259
370,Talonflame,3.2262812,48.814476,18515,9038
371,SlowbroGalar,3.2299688,48.926678,22640,11077
372,Shiinotic,3.2579544,48.411037,10510,5088
373,Machamp,3.2651556,48.887135,21521,10521
374,Heliolisk,3.2815127,48.819263,19310,9427
375,Mr.Rime,3.3268216,48.38191,10568,5113
376,Doublade,3.369629,48.7685,18717,9128
377,Charizard,3.3764179,48.755436,18400,8971
378,Farfetch’d,3.384359,48.344814,10452,5053
379,Thievul,3.417685,48.32176,10368,5010
380,Linoone,3.4593287,48.793655,20558,10031
381,Gurdurr,3.4702811,48.839806,22367,10924
382,Swampert,3.5183277,48.696987,18227,8876
383,Weezing,3.52211,48.744408,19672,9589
384,Sableye,3.6044955,48.26305,10766,5196
385,Chandelure,3.6174746,48.672806,18573,9040
386,Type:Null,3.6245725,48.751186,21060,10267
387,Diggersby,3.7175956,48.789795,23591,11510
388,Reuniclus,3.7218177,48.56308,16772,8145
389,Xatu,3.724301,48.587536,17381,8445
390,Golurk,3.7781463,48.619495,18725,9104
391,Calyrex,3.7828689,46.777004,3444,1611
392,Solrock,3.898219,48.090942,10424,5013
393,Carbink,3.9583688,48.07982,10624,5108
394,Arctovish,3.9933133,48.534325,18558,9007
395,Butterfree,4.000126,48.4251,16128,7810
396,Shedinja,4.0337367,48.049034,10687,5135
397,Blissey,4.0529647,48.453247,17165,8317
398,Dedenne,4.112262,47.991604,10481,5030
399,Venusaur,4.130122,48.51928,19450,9437
400,Emolga,4.142954,47.94196,10131,4857
401,Oranguru,4.1740613,47.95507,10416,4995
402,ExeggutorAlola,4.20352,48.58869,22178,10776
403,Claydol,4.2252564,48.45028,18584,9004
404,Coalossal,4.2270837,48.60622,22995,11177
405,Cofagrigus,4.249993,48.453556,18882,9149
406,Alcremie,4.381695,48.523132,22006,10678
407,Drampa,4.462668,48.509327,22406,10869
408,Dhelmise,4.4742937,48.372414,18893,9139
409,Gothitelle,4.513108,47.736874,9942,4746
410,Palossand,4.5369487,48.35592,19038,9206
411,Beheeyem,4.633518,47.686478,10028,4782
412,Sirfetch’d,4.6793313,48.25945,18069,8720
413,Regirock,4.703311,48.316505,19513,9428
414,Pangoro,4.7085376,48.420914,22228,10763
415,Garbodor,4.7595615,48.44199,23331,11302
416,Corsola,4.7997203,47.634773,10295,4904
417,Armaldo,4.8568892,47.664417,10811,5153
418,Mandibuzz,5.002546,48.165287,18586,8952
419,LycanrocMidnight,5.0487447,47.55376,10649,5064
420,Cherrim,5.118626,47.50947,10560,5017
421,Hitmontop,5.156828,48.089592,18216,8760
422,Bewear,5.1893444,48.284756,22883,11049
423,Shiftry,5.2289734,47.47766,10744,5101
424,Lopunny,5.3531632,47.33181,10063,4763
425,Mawile,5.373867,47.36029,10361,4907
426,Registeel,5.4352074,47.990376,18287,8776
427,Lunatone,5.5304813,47.30755,10548,4990
428,Wigglytuff,5.692218,47.249462,10707,5059
429,Druddigon,5.718985,47.92206,18937,9075
430,Whimsicott,5.7617617,47.914703,19086,9145
431,Kingler,5.8551393,47.9545,20484,9823
432,Sudowoodo,6.0230403,47.06497,10528,4955
433,Jellicent,6.053068,47.76315,18307,8744
434,Appletun,6.0819535,47.604267,16112,7670
435,Wobbuffet,6.4293036,46.80557,10127,4740
436,Clawitzer,6.5876436,47.69899,20491,9774
437,Maractus,6.87311,46.635353,10432,4865
438,Indeedee,7.148806,47.57794,21779,10362
439,Audino,7.152256,47.27029,17163,8113
440,Delibird,7.534602,46.35153,10662,4942
